9 v 2	18 v 16	19 v 15	20 v 14	21 v 13	22 v 12	23 v 11	24 v 10	17 v 1	3 v 8	4 v 7	5 v 6
11 v 10	17 v 4	21 v 23	20 v 24	19 v 2	18 v 3	22 v 1	16 v 5	15 v 6	14 v 7	13 v 8	12 v 9
4 v 3	19 v 11	14 v 16	13 v 17	12 v 18	1 v 15	10 v 20	9 v 21	8 v 22	7 v 23	6 v 24	5 v 2
20 v 19	21 v 18	7 v 9	6 v 10	5 v 11	4 v 12	3 v 13	2 v 14	24 v 15	23 v 16	22 v 17	8 v 1
9 v 8	11 v 6	19 v 21	18 v 22	17 v 23	16 v 24	15 v 2	14 v 3	13 v 4	12 v 5	20 v 1	10 v 7
18 v 17	15 v 20	5 v 7	4 v 8	3 v 9	2 v 10	24 v 11	23 v 12	22 v 13	21 v 14	1 v 6	19 v 16
7 v 6	5 v 8	17 v 19	16 v 20	15 v 21	14 v 22	13 v 23	12 v 24	11 v 2	10 v 3	9 v 4	1 v 18
13 v 12	23 v 2	24 v 1	22 v 3	21 v 4	20 v 5	19 v 6	18 v 7	17 v 8	16 v 9	15 v 10	14 v 11
22 v 21	4 v 16	9 v 11	8 v 12	7 v 13	6 v 14	5 v 15	10 v 1	3 v 17	2 v 18	24 v 19	23 v 20
10 v 9	14 v 5	20 v 22	19 v 23	18 v 24	17 v 2	16 v 3	15 v 4	21 v 1	13 v 6	12 v 7	11 v 8
17 v 16	12 v 21	4 v 6	3 v 7	2 v 8	24 v 9	23 v 10	22 v 11	1 v 5	20 v 13	19 v 14	18 v 15
3 v 2	16 v 12	13 v 15	1 v 14	11 v 17	10 v 18	9 v 19	8 v 20	7 v 21	6 v 22	5 v 23	4 v 24
5 v 4	22 v 10	15 v 17	14 v 18	13 v 19	12 v 20	11 v 21	1 v 16	9 v 23	8 v 24	7 v 2	6 v 3
16 v 15	9 v 22	3 v 5	2 v 6	24 v 7	23 v 8	1 v 4	21 v 10	20 v 11	19 v 12	18 v 13	17 v 14
24 v 23	10 v 14	11 v 13	12 v 1	9 v 15	8 v 16	7 v 17	6 v 18	5 v 19	4 v 20	3 v 21	2 v 22
12 v 11	20 v 3	22 v 24	21 v 2	23 v 1	19 v 4	18 v 5	17 v 6	16 v 7	15 v 8	14 v 9	13 v 10
15 v 14	6 v 23	2 v 4	24 v 5	1 v 3	22 v 7	21 v 8	20 v 9	19 v 10	18 v 11	17 v 12	16 v 13
2 v 24	13 v 1	12 v 14	11 v 15	10 v 16	9 v 17	8 v 18	7 v 19	6 v 20	5 v 21	4 v 22	3 v 23
